title,abstract,year
"Smoking, nicotine and psychiatric disorders: evidence for therapeutic role, controversies and implications for future research.","Researchers interested in investigating the possible therapeutic effects and the mechanisms of action of nicotine in neuropsychiatric disorders face a social-scientific-ethical dilemma. This dilemma comprises three components: (1) the known addictive potential of nicotine makes careful evaluation of the therapeutic potential of this compound socially unattractive; (2) the potential misuse of scientifically determined data by the tobacco 'lobby' creates ethical concerns; and (3) the possible confusion between the differential effects of nicotine in human smokers versus non-smokers creates difficulties in study designs in voluntary human subjects. Therefore, it is imperative that, at the onset of this review, the authors stress that they do not advocate cigarette-smoking as a route of nicotine intake under any circumstances on the basis that controlled dosing of nicotine may be of potential benefit in some neuropsychiatric disorders. In this article, we review the psychopharmacology of nicotine and its effects in a variety of neuropsychiatric disorders including schizophrenia, depression, anxiety and Tourette's syndrome. Possible mechanisms of action of nicotine directly or indirectly via its interaction with other neurotransmitter systems (i.e. serotonin, dopamine and noradrenaline) in relation to its potential role in these disorders are discussed. It is postulated that new drugs may need to be developed that selectively interact with nicotinic receptors without addiction potential.",1999
Neurochemical and neuroendocrine dysregulation in affective disorders.,"Depressed patients demonstrate dysregulation in multiple neurochemical and neuroendocrine systems. The observed abnormalities are often subtle, involving ""inefficiencies"" in stress-responsive systems. Norepinephrine, acetylcholine, the hypothalamic-pituitary-adrenal axis, and the hypothalamic-pituitary-thyroid axis are among the major biochemical and hormonal sites of dysregulation in depression.",1986
[Clinical and experimental studies of the role of neuromediator systems in the pathogenesis of neurosis and neurosis-like states].,Clinical studies revealed a significant increase in the peripheral blood levels of noradrenaline in patients with different forms of neurosis and neurosis-like states as compared to control subjects as well as heterogeneous or unidirectional but differently pronounced changes in blood levels of acetylcholine and adrenaline. Comparison of the clinical findings with the results of dynamic assays for peripheral levels of acetylcholine and catecholamine in dogs exposed to special psychogenic and physiogenic impacts has helped to form an understanding about some common mechanisms of the formation of neuroses and neurosis-like states. The authors emphasize the consistency of neuromediator shifts in the blood of patients and the possibility of using this parameter for the differential diagnosis of various forms of neurotic disturbances at the initial stage of the disease.,1986
[Experimental neuroses].,,1985
[A rapid polarographic microanalytic method for the determination of catecholamines and acetylcholine and their clinical use in borderline forms of neuropsychiatric disorders].,,1982
"[Anxiety, depression and the pathology of emotion (author's transl)].","Each word in the above title, which has been graciously proposed to us, would need a long description defining its semantic contents at all organizational levels: biochemical, physiological, behavioural, psychological, sociological and so on. We have proposed an overview of the subject which is personal and interdisciplinary, but not exhaustive. We have tried to show why ""anxiety"" is due to ""action inhibition"". We have outlined the chief biochemical and neurophysiological, mechanisms which result in action inhibition. We have not entered into the nosological details of depression states. Rather, the clinical forms of depression, their common denominator, at all levels, biochemical, neurophysiological, psychological and sociological, is an outcome of the action inhibition system. We have also insisted upon the crucial role of memory and learning processes in depressive states and have added to this the process of imprinting. Finally, we have mentioned the active and retroactive (feed-back) actions of hormones and polypeptides within the brain, as well as the preferential use, in occidental civilisation, of left hemispheric rather than both, right and left interconnected hemispheric activities.",1982
[Characteristics of neuropsychic and humoral reactions in myocardial infarct].,,1981
[Neuroendocrine regulation in neurocirculatory dystonia].,,1980
[Choline sensitivity of sensomotor cortex neurons of rabbits with experimental neuroses].,,1980
Therapeutic application of physostigmine in neurosis.,,1979
The influence of experimental neurosis on the conditional reflexes and the content of blood catecholamines and acetylcholine in dogs.,"Using experimental neurosis as a model, we investigated the mode of adaptive behavior, conditional reflexes and the blood level of neuromediators in four dogs placed in certain versus uncertain conditions in a Pavlovian laboratory. The research consisted of a two year training program with predictable (ordered partial reinforcement) followed by unpredictable (probabilistic reinforcement) situations. As a result, there was a decline in the acetylcholine as compared to a rise of catecholamine levels of the peripheral blood of some of these dogs. There were varied autonomic responses indicating a possible individual response specificity. In one dog, there was a disappearance of motor defense reflexes. The results support the hypothesis that probabilistic reinforcement following ordered partial reinforcement contributed to the dogs' neurotic disintegration, i.e., uncertainty is a cause of neurotic development.",1979
[Conditioned reactions and mediator-humoral shifts during neurotization in a probabilistic pain reinforcement situation].,"Substitution of regular partial reinforcement for random one (in both cases the reinforcement frequency was 50%) acted in some dogs as a neurotizing factor: they showed unrest, stable defensive reflexes disappeared, corresponding changes were observed in vegetative reactions. At the same time activation of the sympatho-adrenal system was recorded along with a drop in concentration of acetylcholine in peripheric blood. It is noted that the development of neurotic disturbances in dogs in these conditions were to a certain degree dependent of the dominating motivation.",1978
Reciprocal changes in blood acetylcholine and catecholamines during experimental neurosis in dogs [proceedings].,,1977
Benzodiazepines: behavioral and neurochemical mechanisms.,"The therapeutic effects of benzodiazepines in psychoneurosis may depend in part on their ability to release or disinhibit a patient's anxiety-suppressed gratification-seeking behavior. Benzodiazepines may disinhibit behavior by reducing the activity of serotonin (and possibly acetylcholine) neurons in the brain's ""punishment"" system. Reduction of serotonin transmission may be due to a facilitation of gamma-aminobutyric acid (GABA)-mediated presynaptic inhibition at the serotonin nerve terminal.",1977
[Disruption of dynamic equilibrium in the peripheral blood neuromediators of dogs with experimental neuroses during development].,,1977
Behavior Changes in Quinpirole Obsessive-Compulsive Disorder Rats Treated with 6-Hydroxydopamine and the Corresponding Dopaminergic Compulsive Loop Mechanism.,"Recent studies suggest that the anterior limb of the internal capsule may be an area of convergence for multiple compulsion loops. In this study, the role of different dopaminergic compulsion loops in the mechanism of obsessive-compulsive disorder (OCD) was investigated by selectively damaging dopaminergic neurons or fibers in the corresponding targets with 6-hydroxydopamine (6-OHDA) and depicting the anatomical map of various compulsion loops located in the anterior limb of the internal capsule. A total of 52 male Sprague Dawley (SD) rats were exposed to either saline (1 mL/kg, NS group, n = 6) or quinpirole (QNP, dopamine D2-agonist, 0.5 mg/kg, n = 46) twice weekly for 5 weeks. After each injection, the rats were placed on an open field to analyze aspects of their behaviour, including the number of home base visits (NOH), average time between each home base visit (ATBO), and total distance travelled (TDM). After model setup, 46 QNP rats were divided randomly into five groups: 6-OHDA anterior limb of internal capsule (AC) stereotactic injection group (QNP+AC group, n = 10), 6-OHDA mediodorsal thalamic nucleus (MD) stereotactic injection group (QNP+MD group, n = 10), 6-OHDA nucleus accumbens (NAC) stereotactic injection group (QNP+NAC group, n = 10), saline stereotactic injection group (QNP+NS-S group, n = 10), and non-surgical group (QNP+Non-S group, n = 6). In the NS group, rats simultaneously received a 6-OHDA stereotactic injection (NS+6-OHDA-S group, n = 6: AC2, MD2, NAC2). All QNP-treated rats were then continued to be given QNP twice a week for 4 weeks, and their behaviour was observed after each infusion. After 4 weeks, immunofluorescence staining was used to monitor the distribution of dopamine neurons and nerve fibers in different areas of the intervention nerve loops, and quantitative analysis was performed. Compulsive behaviour declined gradually in the QNP+AC and QNP+NAC groups 3 and 4 weeks after surgery, with the QNP+AC group decreasing more rapidly. The QNP+MD group had decreased by 3 weeks after surgery but increased to almost the same level as pre-surgery at 4 weeks post-surgery. Postoperative fluorescence staining and quantitative analysis suggested the number of dopamine (DA) neurons or nerve fibers in the corresponding target area of the 6-OHDA injection were significantly reduced compared with the QNP+Non-S group. 6-OHDA selectively damages the targets of dopaminergic neurons or nerve fibers within the OCD loop, which somewhat alleviates compulsive behaviours. The results suggest that the AC might be the best target for therapeutic interventions for OCD.",2025
Unveiling serotonergic dysfunction of obsessive-compulsive disorder on prefrontal network dynamics: a computational perspective.,"Serotonin (5-HT) regulates working memory within the prefrontal cortex network, which is crucial for understanding obsessive-compulsive disorder. However, the mechanisms how network dynamics and serotonin interact in obsessive-compulsive disorder remain elusive. Here, we incorporate 5-HT receptors (5-HT1A, 5-HT2A) and dopamine receptors into a multistable prefrontal cortex network model, replicating the experimentally observed inverted U-curve phenomenon. We show how the two 5-HT receptors antagonize neuronal activity and modulate network multistability. Reduced binding of 5-HT1A receptors increases global firing, while reduced binding of 5-HT2A receptors deepens attractors. The obtained results suggest reward-dependent synaptic plasticity mechanisms may attenuate 5-HT related network impairments. Integrating serotonin-mediated dopamine release into circuit, we observe that decreased serotonin concentration triggers the network into a deep attractor state, expanding the domain of attraction of stable nodes with high firing rate, potentially causing aberrant reverse learning. This suggests a hypothesis wherein elevated dopamine concentrations in obsessive-compulsive disorder might result from primary deficits in serotonin levels. Findings of this work underscore the pivotal role of serotonergic dysregulation in modulating synaptic plasticity through dopamine pathways, potentially contributing to learned obsessions. Interestingly, serotonin reuptake inhibitors and antidopaminergic potentiators can counteract the over-stable state of high-firing stable points, providing new insights into obsessive-compulsive disorder treatment.",2024
"Now it's your turn!: Eye blink rate in a Jenga task modulated by interaction of task wait times, effortful control, and internalizing behaviors.","Dopamine is a versatile neurotransmitter with implications in many domains, including anxiety and effortful control. Where high levels of effortful control are often regarded as adaptive, other work suggests that high levels of effortful control may be a risk factor for anxiety. Dopamine signaling may be key in understanding these relations. Eye blink rate is a non-invasive proxy metric of midbrain dopamine activity. However, much work with eye blink rate has been constrained to screen-based tasks which lack in ecological validity. We tested whether changes in eye blink rate during a naturalistic effortful control task differ as a function of parent-reported effortful control and internalizing behaviors. Children played a Jenga-like game with an experimenter, but for each trial the experimenter took an increasingly long time to take their turn. Blinks-per-second were computed during each wait period. Multilevel modeling examined the relation between duration of wait period, effortful control, and internalizing behaviors on eye blink rate. We found a significant 3-way interaction between effortful control, internalizing behaviors, and duration of the wait period. Probing this interaction revealed that for children with low reported internalizing behaviors (-1 SD) and high reported effortful control (+1 SD), eye blink rate significantly decreased as they waited longer to take their turn. These findings index task-related changes in midbrain dopamine activity in relation to naturalistic task demands, and that these changes may vary as a function of individual differences in effortful control and internalizing behaviors. We discuss possible top-down mechanisms that may underlie these differences.",2024
Anxiety Change After Dopamine Therapy in Parkinson Disease is Independent of Motor Improvement.,"Several anxiety syndromes have been associated with Parkinson disease (PD), but their interactions with dopamine replacement therapy (DRT) and motor function dynamics are not completely understood. We sought to delineate how DRT impacts anxiety phenomenology in PD and whether these changes are dissociable from improved motoric function. We compared anxiety responses to DRT in two cohorts: 1) a study of 200 PD participants who completed neuropsychiatric assessments before and after taking their dopaminergic medications (""On-Off""); 2) participants in the Parkinson's Progression Markers Initiative (PPMI) de novo PD cohort who completed the State-Trait Anxiety Inventory (STAI) at the time of DRT initiation and a subsequent study visit (n = 113, mean 8-month interval). Among On-Off participants transitioning acutely to the On-state, scores on the Hamilton anxiety rating scale decreased by 37% (t = 14.8, df = 199, p <0.0001). Among PPMI participants, STAI-state scores decreased by 10.4% following DRT initiation (t = 4.5, df = 112, p <0.0001). Item-level anxiety changes exhibited weak and nonsignificant correlations (Spearman ρ: -0.24 to 0.33) with objective MDS-UPDRS motor improvements in both immediate and sustained dopamine replacement contexts. Dopamine repletion effected immediate relief of anxiety in an On-Off state comparison. A similar benefit was observed in the longitudinal PPMI cohort by comparing anxiety before and after DRT initiation, suggesting DRT confers sustained anxiolytic effects in early PD. The weak correlations between improvements to anxiety and motor function on both timescales support the view that these changes are not mediated by improved motor function.",2024
Mental stress objective screening for workers using urinary neurotransmitters.,"Almost 10% of the population develop depression or anxiety disorder during their lifetime. Considering that people who are exposed to high stress are more likely to develop mental disorders, it is important to detect and remove mental stress before depression or anxiety disorder develops. We aimed to develop an objective screening test that quantifies mental stress in workers so that they can recognize and remove it before the disorder develops. We obtained urine specimens from 100 healthy volunteers (49 men and 51 women; age = 48.2 ± 10.8 years) after they received medical checks and answered the Brief Job Stress Questionnaire (BJSQ). Participants were divided into high- and low- stress groups according to their total BJSQ scores. We further analyzed six urinary neurotransmitters (dopamine, serotonin, 5-hydoroxyindoleacetic acid, gamma-aminobutyric acid, homovanillic acid, and vanillylmandelic acid) using liquid chromatography-mass spectrometry to compare their levels between the two groups. We obtained the concentrations of the six analytes from 100 examinees and revealed that the levels of urinary dopamine (p = 0.0042) and homovanillic acid (p = 0.020) were significantly lower in the high-stress group than those in the low-stress group. No biases were observed between the two groups in 36 laboratory items. The stress index generated from the six neurotransmitter concentrations recognized high-stress group significantly. Moreover, we discovered that the level of each urinary neurotransmitter changed depending on various stress factors, such as dissatisfaction, physical fatigue, stomach and intestine problems, poor appetite, poor working environments, sleep disturbance, isolation, worry, or insecurity. We revealed that urinary neurotransmitters could be a promising indicator to determine underlying mental stress. This study provides clues for scientists to develop a screening test not only for workers but also for patients with depression.",2023
Probing midbrain dopamine function in pediatric obsessive-compulsive disorder via neuromelanin-sensitive magnetic resonance imaging.,"Obsessive-compulsive disorder (OCD) is an impairing psychiatric condition, which often onsets in childhood. Growing research highlights dopaminergic alterations in adult OCD, yet pediatric studies are limited by methodological constraints. This is the first study to utilize neuromelanin-sensitive MRI as a proxy for dopaminergic function among children with OCD. N = 135 youth (6-14-year-olds) completed high-resolution neuromelanin-sensitive MRI across two sites; n = 64 had an OCD diagnosis. N = 47 children with OCD completed a second scan after cognitive-behavioral therapy. Voxel-wise analyses identified that neuromelanin-MRI signal was higher among children with OCD compared to those without (483 voxels, permutation-corrected p = 0.018). Effects were significant within both the substania nigra pars compacta (p = 0.004, Cohen's d = 0.51) and ventral tegmental area (p = 0.006, d = 0.50). Follow-up analyses indicated that more severe lifetime symptoms (t = -2.72, p = 0.009) and longer illness duration (t = -2.22, p = 0.03) related to lower neuromelanin-MRI signal. Despite significant symptom reduction with therapy (p < 0.001, d = 1.44), neither baseline nor change in neuromelanin-MRI signal associated with symptom improvement. Current results provide the first demonstration of the utility of neuromelanin-MRI in pediatric psychiatry, specifically highlighting in vivo evidence for midbrain dopamine alterations in treatment-seeking youth with OCD. Neuromelanin-MRI likely indexes accumulating alterations over time, herein, implicating dopamine hyperactivity in OCD. Given evidence of increased neuromelanin signal in pediatric OCD but negative association with symptom severity, additional work is needed to parse potential longitudinal or compensatory mechanisms. Future studies should explore the utility of neuromelanin-MRI biomarkers to identify early risk prior to onset, parse OCD subtypes or symptom heterogeneity, and explore prediction of pharmacotherapy response.",2023
Gender-Related Differences in the Relationship between Homovanillic Acid in the Cerebrospinal Fluid and Clinical Symptoms in Suicide Attempters.,"Decreased dopaminergic activity - as reflected by lower levels of the major metabolite homovanillic acid (HVA) in cerebrospinal fluid (CSF) - may be involved in the pathophysiology of attempted suicide. An inverse association has also been found between dopaminergic activity and clinical symptoms of depression and anxiety in non-suicidal individuals. The aim of this study was to assess the relationship between CSF-HVA and clinical symptoms associated with an increased risk of suicide in individuals who attempted suicide. Ninety-five people (52 women; 43 men) who had recently attempted suicide received lumbar punctures to analyse levels of HVA in the CSF. They were also evaluated with the Comprehensive Psychopathological Rating Scale, from which scores on the Montgomery-Åsberg Depression Rating Scale (MADRS), the Brief Scale of Anxiety (BSA), and an item on suicidal thoughts were analysed. Among female participants, CSF-HVA was significantly and negatively correlated with BSA total scores, after adjusting for covariates (beta = -0.442, p = 0.002), but not with scores on the MADRS or suicidal thought item. No significant correlations were observed between CSF-HVA and symptoms among male participants. Our findings suggest that lower dopaminergic activity may be associated with clinical symptoms of anxiety among women who have recently attempted suicide.",2023
'Anxious fluctuators' a subgroup of Parkinson's disease with high anxiety and problematic on-off fluctuations.,"Anxiety that occurs in association with on-off dopamine medication fluctuations is a major cause of distress, dysfunction, and lower quality of life in people with Parkinson's disease (PD). However, the association between anxiety and on-off fluctuations is poorly understood and it is difficult to predict which patients will suffer from this atypical form of anxiety. To understand whether fluctuating anxiety in PD exists as part of an endophenotype that is associated with other signs or symptoms, we prospectively assessed the change in anxiety and a battery of clinical variables when transitioning from the off-dopamine medication state to the on state in 200 people with PD. We performed latent profile analysis with observed variables as latent profile indicators measuring the on-off-state difference in anxiety, depression, motor function, daily functioning, and the wearing off questionnaire 19 item scale (WOQ-19) in order to model unobserved (i.e., latent) profiles. A two-class model produced the best fit. The majority of participants, 69%, were categorized as having a 'typical on-off response' compared to a second profile constituting 31% of the sample who experienced a worsening in anxiety in the off state that was three times that of other participants. This profile referred to as ""anxious fluctuators"" had a Hamilton Anxiety Rating Scale change between the off and on medication state of 10.22(32.85) compared to 3.27 (7.62), higher depression scores, greater disability and was less likely to improve on select WOQ-19 items when in the on-state. Anxious fluctuators were more likely to be male and have a family history of anxiety disorder. Given the adverse impact of this profile we believe it may be important to distinguish patients with a typical on-off response from those with this more problematic course of fluctuations.",2022
