Question,Ground Truth
Which DNA sequences are more prone for the formation of R-loops?,"[""R-loops, transcriptionally-induced RNA:DNA hybrids, occurring at repeat tracts (CTG)n, (CAG)n, (CGG)n, (CCG)n and (GAA)n, are associated with diseases including myotonic dystrophy, Huntington's disease, fragile X and Friedreich's ataxia.  Physiological R-loop formation at CpG island promoters can contribute to DNA replication origin specification at these regions, the most efficient replication initiation sites in mammalian cells. R-loops may also possess beneficial effects, as their widespread formation has been detected over CpG island promoters in human genes. R-loops are particularly enriched over G-rich terminator elements.""]"
Mutation of which gene is implicated in the familial isolated pituitary adenoma?,['Mutation of aryl hydrocarbon receptor interacting protein (AIP) gene was implicated in the familial isolated pituitary adenoma (FIPA) syndrome. About 20% of the families with FIPA harbor inactivating mutation in AIP gene.']
which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?,['The following mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy: L29Q; A8V; A31S; E134D; c.363dupG; A23Q; D145E and C84Y']
What is known about the effect of acupuncture in smoking cessation ?,"['Ear acupressure (EAP) and ear acupuncture have been used for smoking cessation, and some positive results have been reported.\nAuricular (ear) acupressure has been purported to be beneficial in achieving smoking cessation in some studies, while in others has been deemed insignificant.\nThe combined acupuncture-education group showing the greatest effect from treatment.']"
Which post-translational histone modifications are characteristic of constitutive heterochromatin?,"['H3K9me3 is the major marker of constitutive heterochromatin. Other histone methylation marks usually found in constitutive heterochromatin, are H4K20me3 and H3K79me3. Classical histone modifications associated with heterochromatin include H3K9me2, H3K27me1 and H3K27me2. Histone H3 trimethylation at lysine 36 is associated with constitutive and facultative heterochromatin. H3S10 phosphorylation marks constitutive heterochromatin during interphase in early mouse embryos until the 4-cell stage']"
GV1001 vaccine targets which enzyme?,['GV1001 is a 16-amino-acid vaccine peptide derived from the human telomerase reverse transcriptase sequence. It has been developed as a vaccine against various cancers.']
Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?,"['IκB degradation involves ubiquitination mediated by a specific E3 ubiquitin ligase SCF(β-TrCP). SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.', 'IkappaB degradation is dependent upon its phosphorylation by the IkappaB kinase (IKK) complex and subsequent ubiquitination facilitated by beta-Trcp E3 ubiquitin ligase.Sequence comparison analysis showed sequence motif identity between CLU and beta-transducin repeat-containing protein (beta-TrCP), a main E3 ubiquitin ligase involved in IkappaB-alpha degradation.', 'IkappaB degradation is dependent upon its phosphorylation by the IkappaB kinase (IKK) complex and subsequent ubiquitination facilitated by beta-Trcp E3 ubiquitin ligase. SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.']"
Is c-met involved in the activation of the Akt pathway?,"['HGF-induced activation of c-Met is playing a pivotal role in the stimulation of c-Src activation, resulting in induction of phosphatidylinositol 3-kinase complexes p85α/p110α and p85α/p110δ, which is required for Akt-mediated activation of mammalian target of rapamycin, with consequent inhibition of IκB kinase and nuclear factor-κB activation, resulting in enhanced cell survival.']"
Is pregnancy an additional risk during during H1N1 infection?,"['Pregnant women are at increased risk for complications from pandemic influenza H1N1 virus infection. Pregnant women, because of their altered immunity and physiological adaptations, are at higher risk of developing pulmonary complications, especially in the second and third trimesters. Pregnancy, particularly during the third trimester, increases the risk of complications and early antiviral treatment is associated with improved outcomes.']"
Are long non coding RNAs as conserved in sequence as protein coding genes?,['No. Most long non coding RNAs  (lncRNAs) are under lower sequence constraints than protein-coding genes.']
Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?,"['Brain-lung-thyroid syndrome (BLTS) characterized by congenital hypothyroidism, respiratory distress syndrome, and benign hereditary chorea is caused by thyroid transcription factor 1 (NKX2-1/TTF1) mutations.']"
What is clathrin?,['Clathrin helps build small vesicles in order to safely transport molecules within and between cells.']
What are the main results of PRKAR1A Knockdown?,"['Suppression of protein kinase A regulatory subunit 1 alpha (PRKAR1A) has been proven to inhibit cholangiocarcinoma (CCA) cell growth and enhance apoptosis. Also, Knockdown of the cAMP-dependent protein kinase (PKA) Type Ialpha regulatory subunit in mouse oocytes disrupts meiotic arrest and results in meiotic spindle defects.']"
Is TENS machine effective in pain?,['Transcutaneous electrical nerve stimulation is widely used in pain management']
Is there any algorithm for enhancer identification from chromatin state?,"['yes', 'Yes. RFECS is a random-forest based algorithm for enhancer identification from chromatin state. It integrates histone modification profiles for the identification of enhancers, and can be used to identify enhancers in a number of cell-types. RFECS not only leads to more accurate and precise prediction of enhancers than previous methods, but also helps identify the most informative and robust set of three chromatin marks for enhancer prediction.']"
Which enzyme is targeted by the drug Imetelstat?,"[""Imetelstat sodium (GRN163L), is a 13-mer oligonucleotide N3'→P5' thio-phosphoramidate lipid conjugate, which represents the latest generation of telomerase inhibitors targeting the template region of the human functional telomerase RNA subunit. In preclinical trials, this compound has been found to inhibit telomerase activity in multiple cancer cell lines, as well as in vivo xenograft mouse models.""]"
Which interleukins are inhibited by Dupilumab?,"['Dupilumab, a fully human monoclonal antibody that blocks interleukin-4 and interleukin-13, has shown efficacy in patients with asthma and elevated eosinophil levels.']"
Which human genes are more commonly related to craniosynostosis?,"['The genes that are most commonly linked to craniosynostoses are the members of the Fibroblast Growth Factor Receptor family FGFR3 and to a lesser extent FGFR1 and FGFR2. Some variants of the disease have been associated with the triplication of the MSX2 gene and mutations in NELL-1. NELL-1 is being regulated bu RUNX2, which has also been associated to cases of craniosynostosis. Other genes reported to have a role in the development of the disease are RECQL4, TWIST, SOX6 and GNAS.']"
Are transcribed ultraconserved regions involved in cancer?,"['Yes, it appears that there is widespread T-UCR (Transcribed - UltraConserved Region) involvement in diverse cellular processes that are deregulated in the process of tumourigenesis. Transcribed ultraconserved regions (T-UCRs) are a subset of 481 sequences longer than 200 bp, which are absolutely conserved between orthologous regions of human, rat and mouse genomes, and are actively transcribed. It has recently been proven in cancer systems that differentially expressed T-UCRs could alter the functional characteristics of malignant cells.']"
In which breast cancer patients can palbociclib be used?,"['Palbociclib is useful for women with hormone receptor-positive, human epidermal growth factor receptor 2-negative breast cancer.']"
Do patients with Pendred syndrome present congenital deafness?,['Congenital deafness is one of the characteristics of Pendred syndrome patients.']
List side effects of SGLT2 inhibitors?,"['SGLT2 inhibitors can be associated with urogenital infections related to the enhanced glycosuria, and low blood pressure.']"
Is CD56 useful in Ewing sarcoma prognosis?,"['Excellent prognosis in a subset of patients with Ewing sarcoma identified at diagnosis by CD56 using flow cytometryIn patients with localized nonpelvic disease, those expressing low/negative CD56 had 100% PFS versus 40% in the high expressing group (P = 0.02)', 'CD56 expression could be used to reveal Ewing sarcoma patients with excellent prognosis or patients predisposed to relapse, thus improving treatment stratification and implementation of personalized therapy.']"
What is the method FASP used for?,"['Filter Aided Sample Preparation (FASP), a type of proteomic reactor, in which samples dissolved in sodium dodecyl sulfate (SDS) are digested in an ultrafiltration unit.']"
What is the role of extracellular signal-related kinases 1 and 2 (ERK1/2) proteins in craniosynostosis?,"['Reduced dosage of ERF, which encodes an inhibitory ETS transcription factor directly bound by ERK1/2 causes complex craniosynostosis (premature fusion of the cranial sutures) in humans and mice. Features of this newly recognized clinical disorder include multiple-suture synostosis, craniofacial dysmorphism, Chiari malformation and language delay.']"
Are there any urine biomarkers for chronic kidney disease?,"['Chronic kidney disease (CKD), is a progressive loss in renal function over a period of months or years. The symptoms of worsening kidney function are non-specific, and might include feeling generally unwell and experiencing a reduced appetite. Often, chronic kidney disease is diagnosed as a result of screening of people known to be at risk of kidney problems, such as those with high blood pressure or diabetes and those with a blood relative with chronic kidney disease. Chronic kidney disease may also be identified when it leads to one of its recognized complications, such as cardiovascular disease, anemia or pericarditis. It is differentiated from acute kidney disease in that the reduction in kidney function must be present for over 3 months.', 'Yes, there is a number of urine biomarkers used for early detection of chronic kidney disease.']"
What is being measured with an accelerometer in back pain patients,"['Accelerometer assessment measuring overall physical activity (PAL), constant strain postures (CSP), standing time (ST) and lying time (LT)...\nThe following parameters of physical activity were recorded: time upright (standing or walking), time standing, time walking, and step count.']"
List the releases of JASPAR database,"['JASPAR, JASPAR CORE, JASPAR FAM, JASPAR phyloFACTS, JASPAR 2008 update, JASPAR 2010, JASPAR 2014.']"
List symptoms of the IFAP syndrome.,"['The IFAP syndrome is a rare X-linked genetic disorder characterized by the triad of follicular ichthyosis, atrichia, and photophobia.']"
Which gene is required for the efficient function of clopidogrel?,"['The prodrug clopidogrel requires activation by cytochrome P-450 (CYP) enzymes for its antiplatelet effect. Variability in clopidogrel response might be influenced by polymorphisms in genes coding for drug metabolism enzymes (cytochrome P450 CYP2C19), transport proteins (P-glycoprotein) and/or target proteins for the drug (adenosine diphosphate-receptor P2Y12). The CYP2C19 loss-of-function alleles had a gene dose effect on the pharmacodynamics and composite ischemic events of clopidogrel in our study population. Neither the ABCB1 nor the PON1 genotype significantly influenced the antiplatelet effect and clinical outcomes of clopidogrel in these patients']"
Is valproic acid effective for glioblastoma treatment?,"['Yes, valproic acid prolong survival of glioblastoma patients. Valproic acid is an antiepileptic agent with histone deacetylase inhibitor activity shown to sensitize glioblastoma cells to radiation in preclinical models.']"
Which transcription factor is considered as a master regulator of lysosomal genes?,"['Transcription factor EB (TFEB) is a master regulator of lysosomal biogenesis and autophagy, driving lysosome adaptation to environmental cues, such as starvation, and therefore targeting of TFEB may provide a novel therapeutic strategy for modulating lysosomal function in human disease.']"
Which antibiotics target peptidoglycan biosynthesis?,"['Under some conditions, both ramoplanin and vancomycin probes produce helicoid staining patterns along the cylindrical walls of B. subtilis cells. This work has implications for the design of ramoplanin derivatives and may influence how other proposed substrate binding antibiotics are studied. This was confirmed by in vitro studies involving a wall-membrane particulate fraction from Gaffkya homari in which peptidoglycan synthesis from UDP-MurNAc-tetrapeptide was inhibited by ramoplanin but not by vancomycin. New results support a two-state model for septal and peripheral PG synthesis at mid-cell, involvement of essential cell division proteins in PG remodeling, and mid-cell localization of proteins that organize PG biosynthesis and that form the protein translocation apparatus.', 'Antibiotics which inhibit bacterial peptidoglycan biosynthesis are the most widely used in current clinical practice. Cells treated with ampicillin, D-cycloserine, or fosfomycin had only one chloroplast after cell division, suggesting that the cells divided without chloroplast division. The antibiotics bacitracin and vancomycin showed no obvious effect. Colchicine inhibits Closterium cell elongation after division.  Surprisingly, also cinnamycin of Streptomyces cinnamoneus cinnamoneus), previously known to bind specifically to phosphatidylethanolamin of biological membranes, provoked strong cell wall biosynthetic stress. Other substances include fluorescent derivatives of two PG-binding antibiotics, vancomycin and ramoplanin. The muraymycins constitute a new antibiotic family whose core structure contains a glycosylated uronic acid derivative joined by an aminopropane group to a hexahydro-2-imino-4-pyrimidylglycyl residue (epicapreomycidine) containing dipeptide that is further extended by a urea-valine moiety. The muraymycins inhibited peptidoglycan biosynthesis. Ramoplanin is a cyclicdepsipeptide antibiotic that inhibits peptidoglycan biosynthesis. The lantibiotic mersacidin inhibits peptidoglycan biosynthesis at the level of transglycosylation. Ramoplanin, a new lipoglycopeptide antibiotic, inhibits cell wall peptidoglycan biosynthesis in gram-positive bacteria.']"
Can Levoxyl (levothyroxine sodium) cause insomnia?,['Levoxyl monotherapy is associated with increased insomnia compared to a combination of levothyroxine and liothyronine.']
Is fatigue prevalent in patients receiving treatment for glioblastoma?,"['Yes, fatigue is a common complication of glioblastoma patients receiving chemotherapy or radiotherapy.']"
List two common features of Tay syndrome.,"['Tay syndrome is a rare autosomal recessive genetic disorder characterized by congenital ichthyosis and trichothiodystrophy (abnormal brittle hair). Other less common features of this syndrome are photosensitivity, low birth weight, short stature, mental retardation, delayed neuromuscular development and other CNS anomalies, dysplasia of nails, hypoplasia of subcutaneous fatty tissue, prematurely aged facial appearance, hypogonadism, cataracts, osteosclerosis, dysphonia, and increased susceptibility to infections.']"
Which cell types are known to be driving Rheumatoid Arthritis?,"['Macrophages, T cells and their respective cytokines play a pivotal role in RA. Rheumatoid arthritis synovial fibroblasts (RASFs) constitute a quite unique cell type that distinguishes RA from other inflammatory conditions of the joints. Activated synovial fibroblasts (SFs) have the ability to invade joint cartilage, actively contributing to joint destruction in RA.']"
What is the association between personality trait of neuroticism and risk for Alzheimer's disease?,"[""High neuroticism is associated with increased risk to develop Alzheimer's disease. Greater neuroticism is also associated more advanced Alzheimer's disease neuropathology and younger age of dementia onset. Neuroticism's association with late-life dementia mainly reflects vulnerability to stress and anxiety. Neuroticism moderates the relationship between APOE-4 genotype and cognitive outcomes in elderly. Neuroticism also predicts Mild Cognitive Impairment, Aging-Associated Cognitive Decline and cognitive decline among elderly. Alzheimer's disease patients have greater neuroticism relative to controls.""]"
What is the mode of action of everolimus?,"['Everolimus is a drug that binds to mTORC1 and inhibits activation of the mTOR signalling pathway. It is used in targeted cancer therapy protocols or after transplantation for maintenance immunosuppression, against allograft rejection.']"
Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?,"['Yes, mutations in the DNA that affect the splicing pattern of genes have been linked in transcriptome population studies to a number of diseases.']"
Which technique is used for detection of EWS/FLI1 fusion transcripts?,['Molecular detection of EWS-FLI1 chimeric transcripts in Ewing family tumors is carried out by reverse transcription-polymerase chain reaction (RT-PCR).']
Does the CTCF protein co-localize with cohesin?,"['Recent genome-wide studies mapping the binding sites of CTCF and its interacting partner, cohesin, using chromatin immunoprecipitation coupled with deep sequencing (ChIP-seq) revealded that CTCF globally co-localizes with cohesin.', 'Recent genome-wide studies mapping the binding sites of CTCF and its interacting partner, cohesin, using chromatin immunoprecipitation coupled with deep sequencing (ChIP-seq) revealded that CTCF globally co-localizes with cohesin  ']"
What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?,"['Bimolecular fluorescence complementation (BiFC) is a powerful method for studying protein-protein interactions in different cell types and organisms. This method was recently developed in the fruit fly Drosophila melanogaster, allowing analyzing protein interaction properties in a physiologically relevant developing context.']"
