title,abstract,year
Response of prostate cancer to anti-Her-2/neu antibody in androgen-dependent and -independent human xenograft models.,"Antibody to the Her-2/neu gene product has been shown to inhibit the growth of breast cancer cells overexpressing Her-2/neu and to have clinical utility in treating breast cancer. We studied a recombinant, humanized anti-Her-2/neu antibody (Herceptin) in preclinical models of human prostate cancer. The androgen-dependent CWR22 and LNCaP human prostate cancer xenograft models and androgen-independent sublines of CWR22 were used. Her-2/neu staining of the parental, androgen-dependent, and androgen-independent CWR22 tumors and LNCaP tumors demonstrated variable Her-2/neu expression. Herceptin was administered i.p. at a dose of 20 mg/kg twice weekly after the xenograft had been established. No effect of Herceptin on tumor growth was observed in any of the androgen-independent tumors; however, significant growth inhibition was observed in both of the androgen-dependent xenograft models, CWR22 (68% growth inhibition at the completion of the experiment; P = 0.03 for trajectories of the average tumor volume of the groups) and LNCaP (89% growth inhibition; P = 0.002). There was a significant increase in prostate-specific antigen (PSA) index (ng PSA/ml serum/mm3 tumor) in Herceptin-treated androgen-dependent groups compared with control (CWR22, 18-fold relative to pretreatment value versus 1.0-fold, P = 0.0001; LNCaP, 2.35-fold relative to pretreatment value versus 0.6-fold, P = 0.001). When paclitaxel (6.25 mg/kg s.c., five times/week) was given to animals with androgen-dependent and -independent tumors, there was growth inhibition in each group. Paclitaxel and Herceptin cotreatment led to greater growth inhibition than was seen for the agents individually. Thus, in these prostate cancer model systems, Herceptin alone has clinical activity only in the androgen-dependent tumor and has at least an additive effect on growth, in combination with paclitaxel, in both androgen-dependent and androgen-independent tumors. Response to Herceptin did not correlate with the PSA levels, because the PSA index markedly increased in the Herceptin-treated group, whereas it remained constant in the control group. These results suggest the utility of Herceptin in the treatment of human prostate cancer.",1999
Gastrointestinal abnormalities in children with autistic disorder.,"Our aim was to evaluate the structure and function of the upper gastrointestinal tract in a group of patients with autism who had gastrointestinal symptoms. Thirty-six children (age: 5.7 +/- 2 years, mean +/- SD) with autistic disorder underwent upper gastrointestinal endoscopy with biopsies, intestinal and pancreatic enzyme analyses, and bacterial and fungal cultures. The most frequent gastrointestinal complaints were chronic diarrhea, gaseousness, and abdominal discomfort and distension. Histologic examination in these 36 children revealed grade I or II reflux esophagitis in 25 (69.4%), chronic gastritis in 15, and chronic duodenitis in 24. The number of Paneth's cells in the duodenal crypts was significantly elevated in autistic children compared with non-autistic control subjects. Low intestinal carbohydrate digestive enzyme activity was reported in 21 children (58.3%), although there was no abnormality found in pancreatic function. Seventy-five percent of the autistic children (27/36) had an increased pancreatico-biliary fluid output after intravenous secretin administration. Nineteen of the 21 patients with diarrhea had significantly higher fluid output than those without diarrhea. Unrecognized gastrointestinal disorders, especially reflux esophagitis and disaccharide malabsorption, may contribute to the behavioral problems of the non-verbal autistic patients. The observed increase in pancreatico-biliary secretion after secretin infusion suggests an upregulation of secretin receptors in the pancreas and liver. Further studies are required to determine the possible association between the brain and gastrointestinal dysfunctions in children with autistic disorder.",1999
Pendred syndrome: phenotypic variability in two families carrying the same PDS missense mutation.,"Pendred syndrome comprises congenital sensorineural hearing loss, thyroid goiter, and positive perchlorate discharge test. Recently, this autosomal recessive disorder was shown to be caused by mutations in the PDS gene, which encodes an anion transporter called pendrin. Molecular analysis of the PDS gene was performed in two consanguineous large families from Southern Tunisia comprising a total of 23 individuals affected with profound congenital deafness; the same missense mutation, L445W, was identified in all affected individuals. A widened vestibular aqueduct was found in all patients who underwent computed tomography (CT) scan exploration of the inner ear. In contrast, goiter was present in only 11 affected individuals, who interestingly had a normal result of the perchlorate discharge test whenever performed. The present results question the sensitivity of the perchlorate test for the diagnosis of Pendred syndrome and support the use of a molecular analysis of the PDS gene in the assessment of individuals with severe to profound congenital hearing loss associated with inner ear morphological anomaly even in the absence of a thyroid goiter.",2000
Do personality traits predict the occurrence of Alzheimer's disease?,"To identify specific premorbid personality traits in patients with Alzheimer's disease (AD). A prospective case-control study. A memory clinic of a department of geriatric medicine in a teaching hospital. Fifty-six consecutive patients with probable AD. Sixty-five controls with Parkinson's disease (PD). Premorbid personality traits were assessed using the relative rating version of the Munich Personality Test (MPT). The AD patients showed higher neuroticism than the controls with PD (p=0.013). In comparison with MPT normative values for psychiatric inpatients, the AD patients scored significantly (p<0.05) lower on neuroticism and higher on frustration tolerance and rigidity. Our results support the assumption of specific premorbid characteristics in AD patients, ie increased neuroticism and rigidity. More research is needed to confirm the existence of typical premorbid personality traits in AD.",2000
"Atrichia, ichthyosis, follicular hyperkeratosis, chronic candidiasis, keratitis, seizures, mental retardation and inguinal hernia: a severe manifestation of IFAP syndrome?","A boy with congenital atrichia, ichthyosis follicular, keratitis, cutaneous infections and a huge inguinal hernia, but without deafness is reported. We believe it represents a new case of a rare X-linked recessive syndrome known as ichthyosis follicularis, alopecia, photophobia syndrome (IFAP). The differential diagnosis from keratitis ichthyosis deafness is discussed. The cutaneous infections seen in our case suggest the possibility of considering a genetic link between these syndromes.",2000
"Enlarged vestibular aqueduct: a radiological marker of pendred syndrome, and mutation of the PDS gene.","Although the textbook view of Pendred syndrome is that of an autosomal recessive condition characterized by deafness and goitre, it is increasingly clear that not all such patients present this classical clinical picture. Malformations of the inner ear, specifically enlargement of the vestibular aqueduct, are common in Pendred syndrome and mutations in the PDS (Pendred Syndrome) gene have been recorded in patients presenting with deafness and vestibular aqueduct dilatation only, without other features of Pendred syndrome. Since this is the most common radiological malformation of the cochlea in deaf patients, we investigated what proportion of such cases were due to mutation of the PDS gene. We assessed 57 patients referred with radiological evidence of vestibular aqueduct enlargement, by history, clinical examination, perchlorate discharge test and molecular analysis of the PDS locus. Forty-one patients (72%) had unequivocal evidence of Pendred syndrome. The finding of a single heterozygous mutation at the PDS gene in a further eight was strongly suggestive of a critical role for pendrin, the protein product of the PDS gene, in the generation of enlarged vestibular aqueducts in at least 86% (49/57 cases) of patients with this radiological malformation. Securing the diagnosis of Pendred syndrome may be difficult, especially in the single case. Goitre is an inconstant finding, and the perchlorate discharge test, although helpful, is of diagnostic value only if abnormal. Enlargement of the vestibular aqueduct should be considered as the most likely presentation of Pendred syndrome and should prompt specific investigation of that diagnostic possibility. Pendred syndrome might henceforth be recharacterized as deafness with enlargement of the vestibular aqueduct, which is sometimes associated with goitre.",2000
Cooperative effect of hepatocyte growth factor and fibronectin in anchorage-independent survival of mammary carcinoma cells: requirement for phosphatidylinositol 3-kinase activity.,"Anchorage-independent survival and growth are critical characteristics of malignant cells. We showed previously that the addition of exogenous hepatocyte growth factor (HGF) and the presence of fibronectin fibrils stimulate anchorage-independent colony growth of a murine mammary carcinoma, SP1, which expresses both HGF and HGF receptor (Met; R. Saulnier et al., Exp. Cell Res., 222: 360-369, 1996). We now show that tyrosine phosphorylation of Met in carcinoma cells is augmented by cell adhesion and spreading on fibronectin substratum. In contrast, detached serum-starved cells exhibit reduced tyrosine phosphorylation of Met and undergo apoptotic cell death within 18-24 h. Under these conditions, the addition of HGF stimulates tyrosine phosphorylation of Met and restores survival of carcinoma cells. Soluble fibronectin also stimulates cell survival and shows a cooperative survival response with HGF but does not affect tyrosine phosphorylation of Met; these results indicate that fibronectin acts via a pathway independent of Met in detached cells. We demonstrated previously that inhibition of phosphatidylinositol (PI) 3-kinase activity blocks HGF-induced DNA synthesis of carcinoma cells (N. Rahimi et al., J. Biol. Chem., 271: 24850-24855, 1996). We now show in detached cells a cooperative effect of HGF and FN in the activation of PI 3-kinase and on the phosphorylation of PKB/Akt at serine 473. PI 3-kinase activity is also required for the HGF- and fibronectin-induced survival responses, as well as anchorage-independent colony growth. However, c-Src kinase or MEK1/2 activities are not required for the cell survival effect. Together, these results demonstrate that the PI 3-kinase/Akt pathway is a key effector of the HGF- and fibronectin-induced survival response of breast carcinoma cells under detached conditions and corroborate an interaction between integrin and HGF/ Met signalling pathways in the development of invasive breast cancer.",2000
Premorbid personality predicts level of rated personality change in patients with Alzheimer disease.,"Multiple studies of individuals with Alzheimer disease have substantiated significant levels of informant-rated change in several domains and facets of the Neuroticism-Extraversion-Openness Personality Inventory, including increases in Neuroticism and decreases in Extraversion and Conscientiousness relative to premorbid personality traits. Decline in Openness was cited in some reports, and replicable changes were identified in several facets. Current and premorbid personality of 50 patients with Alzheimer disease were rated by informants using the Neuroticism-Extraversion-Openness Personality Inventory. Multiple regression analysis was used to assess possible relationships of levels of reported change with covariates, including premorbid rating, education, duration of dementia, age, gender, and Mini-Mental State Examination score. Premorbid rating was the only significant predictor of reported change for Neuroticism, Extraversion, Conscientiousness, and the facets Anxiety (N1), Assertiveness (E3), and Activity (E4). Rated change in Depression was also found to be related to duration of dementia, change in Vulnerability was influenced by gender, and reported change in both Openness and Ideas showed a relationship to level of education.",2000
Antifungal activity of a virally encoded gene in transgenic wheat.,"The cDNA encoding the antifungal protein KP4 from Ustilago maydis-infecting virus was inserted behind the ubiquitin promoter of maize and genetically transferred to wheat varieties particularly susceptible to stinking smut (Tilletia tritici) disease. The transgene was integrated and inherited over several generations. Of seven transgenic lines, three showed antifungal activity against U. maydis. The antifungal activity correlated with the presence of the KP4 transgene. KP4-transgenic, soil-grown wheat plants exhibit increased endogenous resistance against stinking smut.",2000
Orthopaedic rehabilitation in a case of Tay-syndrome.,"This paper reports on the orthopaedic rehabilitation of a patient with Tay-syndrome. Tay-syndrome is a rare monogen-inherited ektodermal dysplastic syndrome with ichtyosis, fragility of the hair and physical and mental retardation. The congenital ichtyosis is ubiquitous. Only the skin on the flexion side of the extremity joints are not involved (orthocerathosis combined with paraceratotic strings). In this case, a young boy developed bilateral subluxation of the hips and was not able to stand or walk freely. Contemporary pre- and neonatal care has prolonged the survival of newborns with severe genodermatoses, including this syndrome. In this case, it has provided the necessity for orthopaedic treatment of the problems caused by osteosclerosis and muscular spasticity.",1999
Vancomycin resistance in enterococci: reprogramming of the D-ala-D-Ala ligases in bacterial peptidoglycan biosynthesis.,"Vancomycin binds to bacterial cell-wall intermediates to achieve its antibiotic effect. Infections of vancomycin-resistant enterococci are, however, becoming an increasing problem; the bacteria are resistant because they synthesize different cell-wall intermediates. The enzymes involved in cell-wall biosynthesis, therefore, are potential targets for combating this resistance. Recent biochemical and crystallographic results are providing mechanistic and structural details about some of these targets.",2000
[Current classification of anti-arrhythmia agents].,"Antiarrhythmic drugs can be divided into four Vaughan Williams classes (I-IV) according to defined electrophysiological effects on the myocardium. Thus, the Vaughan Williams classification also coincides with the main myocardial targets of the antiarrhythmics, i.e., myocardial sodium-, potassium-, and calcium-channels or beta-adrenergic receptors. A more detailed characterization which is also based on the myocardial targets of a drug is given by the ""Sicilian Gambit"" approach of classification. Nevertheless, the appropriate drug for the management of a given clinical arrhythmia has to be chosen according to the electrophysiological effects of the respective drug. A main determinant of the antiarrhythmic or proarrhythmic properties of a drug is the frequency dependence of its electrophysiological effects. The sodium-channel blockade induced by class-I substances is enhanced with increasing heart rates. Thus, class-I antiarrhythmics can be subclassified as substances showing a more exponential, an approximately linear, or rather saturated block-frequency relation. Class-III antiarrhythmics (potassium-channel blockade) can be further differentiated according to the component of the delayed rectifier potassium current (IK) which is inhibited by a drug. Class-III drugs inhibiting selectively the rapidly activating and deactivating IKr component exhibit a marked reverse rate dependence, i.e., the drug induced prolongation of the cardiac action potential is minimized at high rates. On the other hand, during bradycardia the pronounced action potential prolongation may cause early afterdepolarizations and triggered activity leading to torsades de pointes arrhythmias (acquired QT syndrome). Class-III substances inhibiting the slowly activating IKs component are currently under investigation and are expected to show a direct rate dependence. Experimental data available so far point to an action potential prolonging effect at least independent of rate. However, it is uncertain whether proarrhythmic effects can be thus avoided, especially in light of the fact that one form of congenital QT syndrome (LQT1) seems to be linked to dysfunction of the IKs-channel.",2000
Structure and function of a human TAFII250 double bromodomain module.,"TFIID is a large multiprotein complex that initiates assembly of the transcription machinery. It is unclear how TFIID recognizes promoters in vivo when templates are nucleosome-bound. Here, it is shown that TAFII250, the largest subunit of TFIID, contains two tandem bromodomain modules that bind selectively to multiply acetylated histone H4 peptides. The 2.1 angstrom crystal structure of the double bromodomain reveals two side-by-side, four-helix bundles with a highly polarized surface charge distribution. Each bundle contains an Nepsilon-acetyllysine binding pocket at its center, which results in a structure ideally suited for recognition of diacetylated histone H4 tails. Thus, TFIID may be targeted to specific chromatin-bound promoters and may play a role in chromatin recognition.",2000
Phosphorylation meets ubiquitination: the control of NF-[kappa]B activity.,"NF-kappaB (nuclear factor-kappaB) is a collective name for inducible dimeric transcription factors composed of members of the Rel family of DNA-binding proteins that recognize a common sequence motif. NF-kappaB is found in essentially all cell types and is involved in activation of an exceptionally large number of genes in response to infections, inflammation, and other stressful situations requiring rapid reprogramming of gene expression. NF-kappaB is normally sequestered in the cytoplasm of nonstimulated cells and consequently must be translocated into the nucleus to function. The subcellular location of NF-kappaB is controlled by a family of inhibitory proteins, IkappaBs, which bind NF-kappaB and mask its nuclear localization signal, thereby preventing nuclear uptake. Exposure of cells to a variety of extracellular stimuli leads to the rapid phosphorylation, ubiquitination, and ultimately proteolytic degradation of IkappaB, which frees NF-kappaB to translocate to the nucleus where it regulates gene transcription. NF-kappaB activation represents a paradigm for controlling the function of a regulatory protein via ubiquitination-dependent proteolysis, as an integral part of a phosphorylationbased signaling cascade. Recently, considerable progress has been made in understanding the details of the signaling pathways that regulate NF-kappaB activity, particularly those responding to the proinflammatory cytokines tumor necrosis factor-alpha and interleukin-1. The multisubunit IkappaB kinase (IKK) responsible for inducible IkappaB phosphorylation is the point of convergence for most NF-kappaB-activating stimuli. IKK contains two catalytic subunits, IKKalpha and IKKbeta, both of which are able to correctly phosphorylate IkappaB. Gene knockout studies have shed light on the very different physiological functions of IKKalpha and IKKbeta. After phosphorylation, the IKK phosphoacceptor sites on IkappaB serve as an essential part of a specific recognition site for E3RS(IkappaB/beta-TrCP), an SCF-type E3 ubiquitin ligase, thereby explaining how IKK controls IkappaB ubiquitination and degradation. A variety of other signaling events, including phosphorylation of NF-kappaB, hyperphosphorylation of IKK, induction of IkappaB synthesis, and the processing of NF-kappaB precursors, provide additional mechanisms that modulate the level and duration of NF-kappaB activity.",2000
Extension of the clinical range of facioscapulohumeral dystrophy: report of six cases.,"Consensual diagnostic criteria for facioscapulohumeral dystrophy (FSHD) include onset of the disease in facial or shoulder girdle muscles, facial weakness in more than 50% of affected family members, autosomal dominant inheritance in familial cases, and evidence of myopathic disease in at least one affected member without biopsy features specific to alternative diagnoses. Six patients did not meet most of these criteria but were diagnosed as FSHD by DNA testing, which showed small EcoRI fragments on chromosome 4q. Their clinical signs and symptoms and results of auxiliary investigations are reported. The patients presented with foot extensor, thigh, or calf muscle weakness. None of them had apparent facial weakness, only one complained of weakness in the shoulders, none had a positive family history. Expert physical examination, however, showed a typical facial expression, an abnormal shoulder configuration on lifting the arms, or scapular winging. This raised the suspicion of FSHD, whereupon DNA analysis was done. In conclusion, the clinical expression of FSHD is much broader than indicated by the nomenclature. The possibility to perform DNA tests is likely to greatly expand the clinical range of FSHD.",2000
A unique point mutation in the fibroblast growth factor receptor 3 gene (FGFR3) causes non-syndromic craniosynostosis.,A unique Pro250Arg mutation in fibroblast growth factor receptor 3 (FGFR3) was recently found in patients with non-syndromic craniosynostosis. We studied 18 Taiwan Chinese patients with various types of craniosynostosis to evaluate if this mutation is also prevalent in the Chinese population. Genomic DNA was analysed by polymerase chain reaction based restriction analysis and direct sequencing to identify the Pro250Arg mutation in FGFR3. Five (28%) of 18 probands were heterozygous for the Pro250Arg mutation. Only those patients with coronal synostosis carried this mutation. Our findings suggest that all patients with coronal synostosis should be examined for this unique mutation.,2000
"A novel mutation, Ala315Ser, in FGFR2: a gene-environment interaction leading to craniosynostosis?","Mutations in the fibroblast growth factor receptor 1, 2 and 3 (FGFR1, -2 and -3) and TWIST genes have been identified in several syndromic forms of craniosynostosis. There remains, however, a significant number of patients with non-syndromic craniosynostosis in whom no genetic cause can be identified. We describe a novel heterozygous mutation of FGFR2 (943G --> T, encoding the amino acid substitution Ala315Ser) in a girl with non-syndromic unicoronal craniosynostosis. The mutation is also present in her mother and her maternal grandfather who have mild facial asymmetry but do not have craniosynostosis. None of these individuals has the Crouzonoid appearance typically associated with FGFR2 mutations. However, the obstetric history revealed that the proband was in persistent breech presentation in utero and was delivered by Caesarean section, at which time compression of the skull was apparent. We propose that this particular FGFR2 mutation only confers a predisposition to craniosynostosis and that an additional environmental insult (in this case foetal head constraint associated with breech position) is necessary for craniosynostosis to occur. To our knowledge, this is the first report of an interaction between a weakly pathogenic mutation and intrauterine constraint, leading to craniosynostosis.",2000
Immunohistochemistry of small round-cell tumors.,"The term ""small round-cell tumor"" describes a group of highly aggressive malignant tumors composed of relatively small and monotonous undifferentiated cells with high nuclear to cytoplasmic ratios. This group includes Ewing's sarcoma (ES), peripheral neuroepithelioma (aka, primitive neuroectodermal tumor or extraskeletal ES), peripheral neuroblastoma (""classic-type""), rhabdomyosarcoma, desmoplastic small round-cell tumor, lymphoma, leukemia, small-cell osteosarcoma, small-cell carcinoma (either undifferentiated or neuroendocrine), olfactory neuroblastoma, cutaneous neuroendocrine carcinoma (aka, Merkel-cell carcinoma), small-cell melanoma, and mesenchymal chondrosarcoma. Their clinical presentations often overlap, thus making a definitive diagnosis problematic in some cases. Yet, a clear understanding of their clinicopathologic features usually allows for a confident diagnosis, especially if immunohistochemistry is used. The following is a review of the immunohistochemistry of this small round-cell tumor group.",2000
The strength and functional performance in patients with facioscapulohumeral muscular dystrophy.,"Facioscapulohumeral muscular dystrophy (FSHD) is a slowly progressive myopathy with autosomal dominant inheritance remarkable for its early involvement of facial musculature. The purpose of our study was to assess the rate of strength deterioration, functional condition and performance of activity of daily living of patients with FSHD in Taiwan. Twenty patients diagnosed with FSHD were included in this study. Manual muscle testing (MMT) was used to evaluate muscle strength. The Brooke and Vignos scales were used to assess upper and lower extremity function respectively, and the capability of the activity of daily living was measured by Barthel index. The result of the strength testing was characterized by the presence of a progressive asymmetrical muscular weakness in patients with FSHD. The mean muscular strength of the right extremity was weaker than its left counterparts (p < 0.05) and the shoulder muscle group was the weakest. According to the Brooke functional scale, 20% of our patients were graded as 1, 30% as grade 2, and 50% as grade 3. On the Vignos functional scale, 50% of patients fell into grade 1, 10% in grade 2, and 40% in grades 3-5. Vignos scale was significantly correlated with mean muscle strength (p < 0.05). The average value of Barthel index was 97.8 +/- 4.7. The muscle strength decline in this Taiwanese of FSHD population was more severe in shoulder girdle area. The mean muscle strength of the right extremity was weaker than the left. Most of our patients suffered from mild or moderate physical disability. Finding of these Taiwanese FSHD population is similar to those reported elsewhere in the world.",2000
